"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Issue rgb20 asset with sufficient sats","1","0","Issue rgb20 asset with sufficient sats which will create asset","0"
"0","","0","Issue rgb20 asset with sufficient sats and no utxo","1","0","Issue rgb20 asset with sufficient sats which will create utxo and create asset","0"
"0","","0","Issue rgb20 asset without sufficient sats","1","0","Issue rgb20 asset without sufficient sats which will produce error toaster","0"
