"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Tests for copy buttons for bitcoind host info","0","0","1","0","0"
"","Login app","Test login app toggle button","0","0","1","0","0"
"","","Tests for copy buttons for bitcoind port info","0","0","1","0","0"
"","About page tests","Tests for copy buttons for node info","0","0","1","0","0"
"","Keyring","Keyring Dialog","0","0","1","0","0"
